City,Average Rating
Inner City,4.9
Quezon City,4.8
Makati City,4.65
Pasig City,4.633333333333334
Mandaluyong City,4.625
Beechworth,4.6
London,4.535
Taguig City,4.525
Secunderabad,4.5
Lincoln,4.5
Tagaytay City,4.5
Orlando,4.475
Tampa Bay,4.41
Rest of Hawaii,4.41
Palm Cove,4.4
Tanunda,4.4
Bangalore,4.375
Dubai,4.37
Pasay City,4.366666666666667
Jakarta,4.35625
Hyderabad,4.344444444444445
Chennai,4.3149999999999995
Ankara,4.305
Tangerang,4.300000000000001
Abu Dhabi,4.3
Vineland Station,4.3
Vernonia,4.3
Mohali,4.3
Sandton,4.3
Randburg,4.3
Clatskanie,4.3
��stanbul,4.292857142857143
Auckland,4.275
Rio de Janeiro,4.265
Boise,4.26
Kolkata,4.255
San Juan City,4.25
Wellington City,4.25
Goa,4.245
Des Moines,4.235
Pune,4.220000000000001
Panchkula,4.2
Athens,4.2
Johannesburg,4.2
Bandung,4.2
Pensacola,4.2
Lucknow,4.1952380952380945
Guwahati,4.190476190476191
Pretoria,4.1899999999999995
Cedar Rapids/Iowa City,4.165
Ahmedabad,4.161904761904762
Savannah,4.154999999999999
Coimbatore,4.135
Jaipur,4.13
Augusta,4.13
Macon,4.115
Dalton,4.11
Cape Town,4.11
East Ballina,4.1
Huskisson,4.1
Trentham East,4.1
Edinburgh,4.09
Mumbai,4.085
Kochi,4.08
Doha,4.0600000000000005
Chandigarh,4.050000000000001
Dehradun,4.05
Manchester,4.045
Gainesville,4.035
Sharjah,4.029999999999999
Columbus,4.029999999999999
Vadodara,4.025
Vizag,4.005
Princeton,4.0
Bhubaneshwar,3.9809523809523806
Ludhiana,3.9799999999999995
Indore,3.97
Agra,3.965
Nagpur,3.965
Bhopal,3.95
Surat,3.935
Weirton,3.9
Colombo,3.87
Bogor,3.85
Kanpur,3.815
Hepburn Springs,3.8
Lakes Entrance,3.8
Santa Rosa,3.8
Middleton Beach,3.8
Sioux City,3.7649999999999997
Mangalore,3.745
Puducherry,3.7299999999999995
Davenport,3.715
Valdosta,3.715
Fernley,3.7
Phillip Island,3.7
Forrest,3.7
Inverloch,3.7
Chatham-Kent,3.7
Mysore,3.6950000000000003
Amritsar,3.6857142857142855
Birmingham,3.6799999999999997
Waterloo,3.65
Monroe,3.6
Victor Harbor,3.6
Ojo Caliente,3.6
Lakeview,3.6
Dicky Beach,3.6
Lorn,3.6
Singapore,3.575
Albany,3.5549999999999997
Dubuque,3.535
S��o Paulo,3.53
Nashik,3.5200000000000005
Varanasi,3.5100000000000002
Macedon,3.5
Armidale,3.5
Flaxton,3.5
Bras�_lia,3.495
Pocatello,3.4850000000000003
Ranchi,3.4549999999999996
Patna,3.4549999999999996
Penola,3.4
Miller,3.4
Allahabad,3.3950000000000005
Aurangabad,3.375
Yorkton,3.3
Potrero,3.3
Balingup,3.2
Winchester Bay,3.2
Cochrane,3.1
Consort,3.0
Mayfield,2.9
Ghaziabad,2.852
Gurgaon,2.6514311270125224
Paynesville,2.6
New Delhi,2.4388452402704184
Montville,2.4
Mc Millan,2.4
Noida,2.0362037037037037
Faridabad,1.8669322709163347
