Aggregate Rating,Restaurant Count,Percentage
0.0,2148,22.489791644853945
1.8,1,0.010470107842110775
1.9,2,0.02094021568422155
2.0,7,0.07329075489477542
2.1,15,0.15705161763166162
2.2,27,0.2826929117369909
2.3,47,0.49209506857920643
2.4,87,0.9108993822636373
2.5,110,1.1517118626321852
2.6,191,1.9997905978431578
2.7,250,2.617526960527693
2.8,315,3.298083970264894
2.9,381,3.989111087844205
3.0,468,4.900010470107842
3.1,519,5.433985970055492
3.2,522,5.465396293581824
3.3,483,5.057062087739504
3.4,498,5.214113705371165
3.5,480,5.025651764213172
3.6,458,4.795309391686734
3.7,427,4.4707360485813
3.8,400,4.18804313684431
3.9,335,3.5074861271071094
4.0,266,2.7850486860014656
4.1,274,2.868809548738352
4.2,221,2.313893833106481
4.3,174,1.8217987645272746
4.4,144,1.5076955292639516
4.5,95,0.9946602450005235
4.6,78,0.8166684116846403
4.7,42,0.43974452936865244
4.8,25,0.26175269605276935
4.9,61,0.6386765783687572
