Cuisines,Restaurant_Count,Average_Rating
"Burger, Bar Food, Steak",1,4.9
"American, Burger, Grill",1,4.9
"American, Caribbean, Seafood",1,4.9
"American, Coffee and Tea",1,4.9
"Mexican, American, Healthy Food",1,4.9
"Italian, Bakery, Continental",1,4.9
"BBQ, Breakfast, Southern",1,4.9
"European, German",1,4.9
"Hawaiian, Seafood",1,4.9
"Sunda, Indonesian",3,4.9
"American, BBQ, Sandwich",1,4.9
World Cuisine,1,4.9
"Continental, Indian",1,4.9
"American, Sandwich, Tea",1,4.9
"Mughlai, Lucknowi",1,4.9
"European, Contemporary",1,4.9
"European, Asian, Indian",1,4.9
"Italian, Deli",1,4.9
"Filipino, Mexican",2,4.85
"Beverages, International",1,4.8
"French, Japanese, Desserts",1,4.8
"Contemporary, Italian",1,4.8
"Continental, Middle Eastern, Asian",1,4.8
"Italian, American, Pizza",1,4.8
"Indian, Continental",1,4.8
"European, Mediterranean, North Indian",3,4.8
"International, Italian, Southern",1,4.8
"Chinese, Dim Sum",2,4.75
"Indian, North Indian",3,4.733333333333333
"Seafood, American, Mediterranean, Japanese",1,4.7
"American, Desserts, Steak",1,4.7
"Seafood, Continental, European, German",1,4.7
African,1,4.7
"American, Burger, Cafe",1,4.7
"Desserts, Bar Food",1,4.7
"Desserts, Cafe, Mexican",1,4.7
"Desserts, B�_rek",1,4.7
"Continental, American, Italian, North Indian, Chinese, Cafe",1,4.7
"Indian, Pakistani, Curry",1,4.7
"Cafe, Continental, Italian, Mexican, Chinese, American",1,4.7
"Indian, North Indian, Curry, Cafe",1,4.7
"American, Sandwich, Salad",1,4.7
"Mexican, American, Tex-Mex, Burger",3,4.7
Greek,1,4.7
Cajun,1,4.7
"North Indian, American, Asian, Biryani",1,4.7
"Continental, Italian, Asian, Indian",1,4.7
"Scottish, Cafe",1,4.7
"Asian, Chinese, Thai, Japanese",1,4.7
"Brazilian, Bar Food",4,4.675
"Taiwanese, Street Food",2,4.65
"Sandwich, Seafood, Cajun",2,4.65
"American, Desserts",2,4.65
"Desserts, Bakery, Western",1,4.6
"Mediterranean, Asian, Continental, North Indian, Arabian",1,4.6
"American, Continental, Burger",1,4.6
"Seafood, French",1,4.6
"American, Burger, Fast Food",1,4.6
"Chinese, Steak",1,4.6
"Brazilian, Healthy Food, Juices, Pizza",1,4.6
"American, Seafood, Cajun",1,4.6
"Cafe, Italian, Coffee and Tea, Western, Indonesian",1,4.6
"Brazilian, Steak",1,4.6
"Cafe, American",1,4.6
"Desserts, Sandwich, Ice Cream",1,4.6
"French, Brazilian, Beverages",1,4.6
"American, Japanese, Sushi",1,4.6
"Biryani, North Indian, Chinese, Mughlai",1,4.6
"New American, Tapas",1,4.6
"Continental, Mexican",1,4.6
"Continental, Italian, Pizza, Asian",1,4.6
"BBQ, Caribbean, Seafood",1,4.6
"North Indian, Chinese, Mediterranean",2,4.6
"Ramen, Japanese",1,4.6
"European, South African",1,4.6
"Asian, Indonesian, Western",1,4.6
"North Indian, Mediterranean, Asian, Arabian",1,4.6
"Persian, Arabian, Lebanese, North Indian",1,4.6
