Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Talaga Sampireun,3,4.9,5514,1838.0
AB's - Absolute Barbecues,4,4.82,13400,3350.0
Chili's,5,4.58,8156,1631.2
Onesta,3,4.5,2821,940.33
Big Chill,4,4.47,10853,2713.25
Food Scouts,3,4.43,312,104.0
Farzi Cafe,6,4.37,10098,1683.0
Barbeque Nation,26,4.35,28142,1082.38
Punjab Grill,5,4.34,5424,1084.8
Palmshore,3,4.3,2228,742.67
Big Yellow Door,3,4.27,7511,2503.67
The Fisherman's Wharf,3,4.27,1022,340.67
Bake N Shake,3,4.2,446,148.67
Hard Rock Cafe,3,4.2,3491,1163.67
Mocha,7,4.19,3111,444.43
Gazebo,3,4.17,1279,426.33
Zaffran,3,4.17,1661,553.67
Chaophraya,3,4.17,505,168.33
Mamagoto,3,4.17,2633,877.67
Saravana Bhavan,3,4.13,7238,2412.67
SodaBottleOpenerWala,3,4.07,5374,1791.33
Jamie's Italian,4,4.05,663,165.75
QD's Restaurant,3,4.03,3536,1178.67
Midnight Hunger Hub,3,4.03,114,38.0
Cafe Delhi Heights,3,4.03,2711,903.67
Pirates of Grill,4,4.02,7091,1772.75
Biryani By Kilo,3,4.0,553,184.33
Bikkgane Biryani,3,3.97,1882,627.33
Movenpick,3,3.97,253,84.33
La Pino'z Pizza,3,3.97,394,131.33
Bun Intended,4,3.95,615,153.75
Krispy Kreme,3,3.93,1257,419.0
Tea Villa Cafe,4,3.92,5167,1291.75
Desi Vibes,3,3.9,3043,1014.33
Applebee's,4,3.9,1057,264.25
Side Wok,3,3.87,875,291.67
Naivedyam,3,3.87,2481,827.0
Zizo,3,3.87,1371,457.0
Taco Bell,3,3.87,825,275.0
Mr. Brown,3,3.87,285,95.0
Happy Hakka,5,3.86,1471,294.2
Texas Roadhouse,5,3.86,783,156.6
TGI Friday's,6,3.85,4357,726.17
L'Opera,5,3.82,1046,209.2
Jungle Jamboree,4,3.82,2705,676.25
Starbucks,18,3.81,7139,396.61
Goosebumps,3,3.8,387,129.0
Wok On Fire,3,3.8,542,180.67
D�_ner Grill,3,3.8,590,196.67
Instapizza,5,3.8,1406,281.2
HuHot Mongolian Grill,3,3.77,618,206.0
The Diet Kitchen,6,3.75,314,52.33
Mad Over Donuts,5,3.74,676,135.2
Mainland China,6,3.72,2541,423.5
Puri Bakers,4,3.72,432,108.0
FreshMenu,4,3.72,467,116.75
Defence Bakery,3,3.7,791,263.67
Amici Cafe,3,3.7,1896,632.0
RollsKing,7,3.7,1814,259.14
Pita Pit,5,3.7,1703,340.6
The Chai Story,3,3.7,206,68.67
Biryani Blues,6,3.67,776,129.33
The Yellow Chilli,7,3.67,1526,218.0
The Midnight Heroes,5,3.66,1111,222.2
Nizam's Kathi Kabab,4,3.65,2356,589.0
Deez Biryani & Kebabs,4,3.65,1532,383.0
Sushiya Express,3,3.63,144,48.0
Swagath,5,3.62,1819,363.8
Haldiram's,16,3.62,4525,282.81
Veg Ex,3,3.6,113,37.67
Qureshi's Kabab Corner,4,3.58,744,186.0
Captain Grub,5,3.54,1408,281.6
Chaayos,18,3.54,2473,137.39
Indian Coffee House,3,3.53,1811,603.67
Doughlicious,3,3.5,304,101.33
Changezi Chicken,3,3.5,1017,339.0
Open Oven,4,3.48,553,138.25
Hong Kong Express,4,3.48,510,127.5
Speedy Chow,3,3.47,623,207.67
Tikka Junction,3,3.43,150,50.0
Burger Singh,3,3.43,757,252.33
Urban Punjab,3,3.43,403,134.33
Kanwarji's,3,3.43,232,77.33
Cafe Turtle,3,3.43,861,287.0
The Coffee Bean & Tea Leaf,4,3.42,855,213.75
Cocoberry,9,3.42,564,62.67
Burger King,16,3.41,4617,288.56
Angels in my Kitchen,8,3.41,1241,155.12
Baked Buns,3,3.4,273,91.0
Rollmaal,3,3.4,719,239.67
Little Chef,3,3.4,318,106.0
221 B Baker Street,3,3.37,215,71.67
Havmor Ice Cream,3,3.37,57,19.0
McDonald's,48,3.34,5291,110.23
Nazeer Foods,7,3.33,1628,232.57
Not Just Paranthas,3,3.33,1647,549.0
Bharat Sweets,3,3.33,65,21.67
Pizza Hut,30,3.32,4961,165.37
Gola Sizzlers,4,3.3,1968,492.0
Gopala,10,3.29,264,26.4
BTW,7,3.29,998,142.57
Kake Da Hotel,5,3.28,2327,465.4
BarShala,3,3.27,85,28.33
Punjab Restaurant,3,3.27,137,45.67
Colonel's Kababz,4,3.2,766,191.5
SGF - Spice Grill Flame,5,3.2,187,37.4
Bikanervala,14,3.19,2980,212.86
Nite Bites,4,3.18,507,126.75
Behrouz Biryani,13,3.18,509,39.15
Cakes & Bakes,3,3.17,92,30.67
Berco's,9,3.17,5394,599.33
Pudding & Pie,6,3.17,258,43.0
True Blue,3,3.17,68,22.67
Burger Point,11,3.15,574,52.18
Dunkin' Donuts,22,3.14,5974,271.55
Nando's,5,3.14,4045,809.0
Om Sweets & Snacks,3,3.13,638,212.67
KB's Kulfi & Icecream,3,3.13,73,24.33
Health Buzzz,3,3.13,40,13.33
Punjabi Pakwaan,3,3.13,199,66.33
Shahenshah,3,3.13,72,24.0
DCK- Dana Choga's Kitchen,4,3.12,1037,259.25
Bawarchi,4,3.12,86,21.5
Rainbows,4,3.1,113,28.25
Polka Pastry & Snack Bar,3,3.1,139,46.33
Chai Point,4,3.1,623,155.75
Dilli Darbar,3,3.1,204,68.0
Roll Club,3,3.07,162,54.0
Barista,22,3.07,815,37.05
Kerala Cafe,3,3.07,214,71.33
Chawla's Chic Inn,3,3.03,155,51.67
Chimney,3,3.03,95,31.67
Karim's,13,3.03,6878,529.08
Tikka Town,3,3.03,309,103.0
Hira Sweets,3,3.03,140,46.67
Kebab Xpress,8,3.02,708,88.5
The Beer Cafe,6,3.02,1987,331.17
Shree Rathnam,15,3.0,1083,72.2
The Kathis,4,3.0,247,61.75
Shree Bikaner Misthan Bhandar,5,3.0,69,13.8
Moti Mahal Delux,14,3.0,1023,73.07
Yo! China,9,2.99,1951,216.78
Gelato Vinto,4,2.98,70,17.5
Hangchuaa's Chinese Food Corner,3,2.97,60,20.0
Sagar Ratna,19,2.96,4038,212.53
Al Bake,6,2.95,396,66.0
Faasos,8,2.94,77,9.62
Flirty Momo's,5,2.92,89,17.8
Subway,63,2.91,6124,97.21
Jaiveer Naan & Chaap,3,2.9,133,44.33
Sugar & Spice - Le Marche,4,2.9,351,87.75
Keventers,34,2.87,1263,37.15
Tea Halt,3,2.87,118,39.33
The Chinese Hut,5,2.86,155,31.0
Zaika,4,2.85,245,61.25
Tibb's Frankie,7,2.84,260,37.14
Frontier,14,2.83,125,8.93
The Golden Dragon,3,2.83,304,101.33
Bunty Dhaba,3,2.83,84,28.0
