Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Barbeque Nation,26,4.35,28142,1082.38
AB's - Absolute Barbecues,4,4.82,13400,3350.0
Big Chill,4,4.47,10853,2713.25
Farzi Cafe,6,4.37,10098,1683.0
Truffles,2,3.95,9682,4841.0
Chili's,5,4.58,8156,1631.2
Joey's Pizza,2,4.25,7807,3903.5
Big Yellow Door,3,4.27,7511,2503.67
Saravana Bhavan,3,4.13,7238,2412.67
Starbucks,18,3.81,7139,396.61
Pirates of Grill,4,4.02,7091,1772.75
Karim's,13,3.03,6878,529.08
Domino's Pizza,79,2.74,6643,84.09
Subway,63,2.91,6124,97.21
Dunkin' Donuts,22,3.14,5974,271.55
Pind Balluchi,20,2.63,5582,279.1
Talaga Sampireun,3,4.9,5514,1838.0
Punjab Grill,5,4.34,5424,1084.8
Berco's,9,3.17,5394,599.33
SodaBottleOpenerWala,3,4.07,5374,1791.33
McDonald's,48,3.34,5291,110.23
Tea Villa Cafe,4,3.92,5167,1291.75
Pizza Hut,30,3.32,4961,165.37
Out Of The Box,2,3.85,4900,2450.0
Burger King,16,3.41,4617,288.56
Khan Chacha,7,2.47,4610,658.57
Haldiram's,16,3.62,4525,282.81
TGI Friday's,6,3.85,4357,726.17
Nando's,5,3.14,4045,809.0
Sagar Ratna,19,2.96,4038,212.53
Olive Bistro,2,4.15,3708,1854.0
SpiceKlub,2,4.3,3651,1825.5
QD's Restaurant,3,4.03,3536,1178.67
Hard Rock Cafe,3,4.2,3491,1163.67
Wood Box Cafe,2,3.95,3449,1724.5
AB's Absolute Barbecues,2,4.85,3151,1575.5
The Flying Saucer Cafe,2,4.1,3145,1572.5
Mocha,7,4.19,3111,444.43
Naturals Ice Cream,2,4.8,3094,1547.0
Desi Vibes,3,3.9,3043,1014.33
The Cheesecake Factory,2,4.65,3010,1505.0
Bikanervala,14,3.19,2980,212.86
Raasta,2,3.85,2943,1471.5
Onesta,3,4.5,2821,940.33
Cafe Delhi Heights,3,4.03,2711,903.67
Jungle Jamboree,4,3.82,2705,676.25
Mamagoto,3,4.17,2633,877.67
Imperfecto,2,3.55,2546,1273.0
Mainland China,6,3.72,2541,423.5
Naivedyam,3,3.87,2481,827.0
Chaayos,18,3.54,2473,137.39
Cafe Coffee Day,83,2.42,2428,29.25
Nizam's Kathi Kabab,4,3.65,2356,589.0
KFC,18,2.74,2331,129.5
Kake Da Hotel,5,3.28,2327,465.4
Smoke House Deli,2,4.05,2292,1146.0
Palmshore,3,4.3,2228,742.67
The Chatter House,2,4.1,2136,1068.0
Punjabi By Nature,2,3.7,2026,1013.0
Oh! Calcutta,2,4.1,1999,999.5
Ceviche Tapas Bar & Restaurant,2,4.25,1993,996.5
The Beer Cafe,6,3.02,1987,331.17
Bombay Brasserie,2,4.4,1984,992.0
Gola Sizzlers,4,3.3,1968,492.0
Yo! China,9,2.99,1951,216.78
Made In Punjab,2,4.05,1917,958.5
Effingut Brewerkz,2,4.3,1906,953.0
Amici Cafe,3,3.7,1896,632.0
