Restaurant Name,Number_of_Outlets,Average_Rating,Total_Votes,Average_Votes
Cafe Coffee Day,83,2.42,2428,29.25
Domino's Pizza,79,2.74,6643,84.09
Subway,63,2.91,6124,97.21
Green Chick Chop,51,2.67,964,18.9
McDonald's,48,3.34,5291,110.23
Keventers,34,2.87,1263,37.15
Pizza Hut,30,3.32,4961,165.37
Giani,29,2.69,854,29.45
Baskin Robbins,28,1.86,428,15.29
Barbeque Nation,26,4.35,28142,1082.38
Giani's,22,2.78,1150,52.27
Barista,22,3.07,815,37.05
Dunkin' Donuts,22,3.14,5974,271.55
Pind Balluchi,20,2.63,5582,279.1
Costa Coffee,20,2.42,861,43.05
Pizza Hut Delivery,19,2.66,1527,80.37
Sagar Ratna,19,2.96,4038,212.53
Wah Ji Wah,19,2.34,1026,54.0
Twenty Four Seven,19,2.15,280,14.74
Starbucks,18,3.81,7139,396.61
KFC,18,2.74,2331,129.5
Chaayos,18,3.54,2473,137.39
Republic of Chicken,18,2.42,234,13.0
Haldiram's,16,3.62,4525,282.81
Burger King,16,3.41,4617,288.56
Shree Rathnam,15,3.0,1083,72.2
Frontier,14,2.83,125,8.93
Bikanervala,14,3.19,2980,212.86
Aggarwal Sweets,14,0.79,39,2.79
Moti Mahal Delux,14,3.0,1023,73.07
Behrouz Biryani,13,3.18,509,39.15
Karim's,13,3.03,6878,529.08
Bikaner Sweets,13,1.34,88,6.77
"34, Chowringhee Lane",12,2.79,777,64.75
Chicago Pizza,12,2.32,633,52.75
Apni Rasoi,12,1.94,489,40.75
Madras Cafe,11,1.92,389,35.36
Burger Point,11,3.15,574,52.18
Wow! Momo,11,2.75,1119,101.73
Gopala,10,3.29,264,26.4
Yo! China,9,2.99,1951,216.78
Berco's,9,3.17,5394,599.33
Nirula's Ice Cream,9,2.4,117,13.0
Cocoberry,9,3.42,564,62.67
Sardar A Pure Meat Shop,9,1.72,112,12.44
Shama Chicken Corner,9,1.08,69,7.67
Faasos,8,2.94,77,9.62
Ovenstory Pizza,8,2.5,100,12.5
Chowringhee,8,2.56,785,98.12
Kebab Xpress,8,3.02,708,88.5
Punjabi Chaap Corner,8,2.35,221,27.62
Angels in my Kitchen,8,3.41,1241,155.12
Punjabi Tadka,8,2.55,182,22.75
Mocha,7,4.19,3111,444.43
Slice of Italy,7,2.73,1377,196.71
RollsKing,7,3.7,1814,259.14
Chinese Hut,7,2.73,261,37.29
Dolce Gelato,7,0.89,18,2.57
Nazeer Foods,7,3.33,1628,232.57
Chawla's�_,7,2.27,364,52.0
Khan Chacha,7,2.47,4610,658.57
BTW,7,3.29,998,142.57
China Town,7,2.03,68,9.71
Tibb's Frankie,7,2.84,260,37.14
The Yellow Chilli,7,3.67,1526,218.0
Tpot,7,0.97,43,6.14
TGI Friday's,6,3.85,4357,726.17
Goli Vada Pav No. 1,6,2.75,548,91.33
Bikaner Sweets & Restaurant,6,0.52,11,1.83
Southy,6,2.72,643,107.17
Biryani Blues,6,3.67,776,129.33
Sanjha Chulha,6,2.42,398,66.33
Punjabi Rasoi,6,1.25,207,34.5
Al Bake,6,2.95,396,66.0
The Diet Kitchen,6,3.75,314,52.33
Farzi Cafe,6,4.37,10098,1683.0
Wrapss,6,2.57,510,85.0
The Beer Cafe,6,3.02,1987,331.17
Moti Mahal Delux Tandoori Trail,6,2.73,501,83.5
Kings Kulfi,6,2.27,82,13.67
Mainland China,6,3.72,2541,423.5
Mr. Sub,6,2.58,217,36.17
Pudding & Pie,6,3.17,258,43.0
Cafe Coffee Day - The Lounge,6,2.8,330,55.0
Chinese Corner,5,1.24,398,79.6
Chili's,5,4.58,8156,1631.2
Nando's,5,3.14,4045,809.0
Nukkadwala,5,2.82,206,41.2
Punjab Grill,5,4.34,5424,1084.8
Captain Grub,5,3.54,1408,281.6
Pita Pit,5,3.7,1703,340.6
Sandoz,5,2.4,225,45.0
SGF - Spice Grill Flame,5,3.2,187,37.4
Happy Hakka,5,3.86,1471,294.2
The Chinese Hut,5,2.86,155,31.0
Aggarwal Sweet India,5,1.7,35,7.0
Aggarwal Sweet Corner,5,1.26,41,8.2
Cake Point,5,1.74,49,9.8
Da Pizza Corner,5,2.26,23,4.6
Nathu's Sweets,5,2.72,1003,200.6
L'Opera,5,3.82,1046,209.2
Mad Over Donuts,5,3.74,676,135.2
Kake Da Hotel,5,3.28,2327,465.4
Kettle & Kegs,5,0.0,5,1.0
The Midnight Heroes,5,3.66,1111,222.2
Instapizza,5,3.8,1406,281.2
Swagath,5,3.62,1819,363.8
Viva Hyderabad,5,2.38,243,48.6
Texas Roadhouse,5,3.86,783,156.6
Red Chilli,5,2.5,247,49.4
Flirty Momo's,5,2.92,89,17.8
Shree Bikaner Misthan Bhandar,5,3.0,69,13.8
Public Cafe,4,2.4,107,26.75
Burger Xpress,4,1.62,116,29.0
Chai Garam,4,0.72,9,2.25
Bun Intended,4,3.95,615,153.75
Rainbows,4,3.1,113,28.25
South Indian Hut,4,1.58,43,10.75
Pirates of Grill,4,4.02,7091,1772.75
Punjabi's Veg Grill,4,2.3,25,6.25
Punjabi Zaika,4,2.35,223,55.75
Kwality Wall's Swirl's,4,0.75,6,1.5
Aapki Rasoi,4,1.52,34,8.5
Hot Pot,4,2.08,232,58.0
The Coffee Bean & Tea Leaf,4,3.42,855,213.75
Puri Bakers,4,3.72,432,108.0
Qureshi's Kabab Corner,4,3.58,744,186.0
Chai Point,4,3.1,623,155.75
Zaika,4,2.85,245,61.25
Gola Sizzlers,4,3.3,1968,492.0
Gelato Vinto,4,2.98,70,17.5
Big Chill,4,4.47,10853,2713.25
Bawarchi,4,3.12,86,21.5
Sugar & Spice - Le Marche,4,2.9,351,87.75
Tea Villa Cafe,4,3.92,5167,1291.75
Super Cake Shop,4,2.05,20,5.0
GoGourmet,4,2.65,99,24.75
FreshMenu,4,3.72,467,116.75
Jungle Jamboree,4,3.82,2705,676.25
The Kathis,4,3.0,247,61.75
Applebee's,4,3.9,1057,264.25
AB's - Absolute Barbecues,4,4.82,13400,3350.0
Kathi Junction,4,1.62,174,43.5
Momo-Cha,4,2.72,124,31.0
Colonel's Kababz,4,3.2,766,191.5
Jamie's Italian,4,4.05,663,165.75
Hong Kong Express,4,3.48,510,127.5
Nizam's Kathi Kabab,4,3.65,2356,589.0
Nite Bites,4,3.18,507,126.75
Nirula's,4,2.65,478,119.5
Open Oven,4,3.48,553,138.25
Chaska,4,2.38,220,55.0
Chawla's 2,4,1.7,116,29.0
Pakwan,4,2.08,126,31.5
Mx Corn,4,0.78,10,2.5
DCK- Dana Choga's Kitchen,4,3.12,1037,259.25
Meatwale.com,4,0.0,4,1.0
Deez Biryani & Kebabs,4,3.65,1532,383.0
Bikkgane Biryani,3,3.97,1882,627.33
Cafe Delhi Heights,3,4.03,2711,903.67
Polka Pastry & Snack Bar,3,3.1,139,46.33
Cafe Turtle,3,3.43,861,287.0
Punjabi Dhaba,3,2.2,107,35.67
Punjabi Pakwaan,3,3.13,199,66.33
QD's Restaurant,3,4.03,3536,1178.67
Radha Swami Shudh Vaishno Dhaba,3,0.0,6,2.0
Punjab Restaurant,3,3.27,137,45.67
Roll Club,3,3.07,162,54.0
Bunty Dhaba,3,2.83,84,28.0
