Restaurant Name,City,Votes,Aggregate rating,Cuisines
Aha Bites,Gurgaon,0,0.0,"Fast Food, North Indian"
Achoos Food Corner,Gurgaon,0,0.0,"South Indian, Chinese, Mughlai"
Food Town,Noida,0,0.0,"Chinese, North Indian, South Indian"
Zaika Restaurant,New Delhi,0,0.0,"Mughlai, North Indian"
Smily Cakes,New Delhi,0,0.0,Bakery
Roll Junction,New Delhi,0,0.0,North Indian
Gopi Sweets & Caters,Gurgaon,0,0.0,"Mithai, North Indian"
Tanishk Gourmet Indian,Gurgaon,0,0.0,"North Indian, Mughlai, Seafood"
Solty Hotel,Gurgaon,0,0.0,North Indian
OMG Tiffinz,Gurgaon,0,0.0,"North Indian, Chinese"
