Restaurant Name,City,Votes,Aggregate rating,Cuisines
Toit,Bangalore,10934,4.8,"Italian, American, Pizza"
Truffles,Bangalore,9667,4.7,"American, Burger, Cafe"
Hauz Khas Social,New Delhi,7931,4.3,"Continental, American, Asian, North Indian"
Peter Cat,Kolkata,7574,4.3,"Continental, North Indian"
AB's - Absolute Barbecues,Bangalore,6907,4.6,"European, Mediterranean, North Indian"
Barbeque Nation,Kolkata,5966,4.9,"North Indian, Chinese"
Big Brewsky,Bangalore,5705,4.5,"Finger Food, North Indian, Italian, Continental, Thai, South Indian"
AB's - Absolute Barbecues,Hyderabad,5434,4.9,"European, Mediterranean, North Indian"
The Black Pearl,Bangalore,5385,4.1,"North Indian, European, Mediterranean"
BarBQ,Kolkata,5288,4.2,"Chinese, North Indian"
